reference_riot_id,source_player_name,source_tag,matches_analyzed,current_rank_mode,match_rank_mode,avg_team_rank_mode,avg_team_rank_mean_value,avg_team_rank_nearest,avg_team_rank_group,wins,losses,draws,winrate,total_kills,total_deaths,total_assists,total_rounds,recent_kd,recent_kda,recent_acs,recent_tracker_score,recent_adr,recent_dda,recent_hs,recent_kast,recent_first_kills,recent_first_deaths,recent_entry_success,recent_entry_activity,recent_multi_kill_rate,acs_std,trs_std,main_agent,main_map
MLK KING#5605,MLK KING,5605,20,Gold 2,Gold 2,Gold 2,9.05,Silver 3,Silver,11,9,0,55.0,387,305,114,417,1.269,1.643,248.8,652.05,158.13,27.86,27.65,70.75,36,40,47.37,18.23,33.09,73.36,232.71,Clove,Split
Ishotyou#2234,Ishotyou,2234,20,Platinum 1,Platinum 1,Gold 1,9.15,Silver 3,Silver,10,10,0,50.0,315,303,112,419,1.04,1.409,203.35,556.95,132.29,-7.85,28.05,76.0,21,27,43.75,11.46,6.92,54.93,223.66,Clove,Fracture
Paco Amoroso#ckL,Paco Amoroso,ckL,20,Platinum 1,Platinum 1,Silver 2,9.2,Silver 3,Silver,8,11,1,40.0,303,302,111,413,1.003,1.371,213.45,561.4,135.63,14.39,17.45,67.45,25,29,46.3,13.08,157.87,65.57,232.42,Clove,Fracture
fifi#1211,fifi,1211,20,Gold 1,Gold 1,Gold 1,9.3,Silver 3,Silver,10,10,0,50.0,321,294,89,417,1.092,1.395,204.5,535.85,137.85,17.36,37.8,66.55,38,31,55.07,16.55,45.8,82.33,238.44,Killjoy,Ascent
Pitu#2301,Pitu,2301,20,Platinum 2,Platinum 2,Silver 3,9.4,Silver 3,Silver,10,9,1,50.0,286,298,119,417,0.96,1.359,201.85,554.3,125.89,15.89,25.85,64.15,38,37,50.67,17.99,164.75,68.37,270.82,Deadlock,Split
FAST LIFE 999#8513,FAST LIFE 999,8513,20,Gold 2,Gold 2,Gold 2,9.45,Silver 3,Silver,10,9,1,50.0,288,347,258,446,0.83,1.573,190.65,543.1,113.95,-2.16,24.2,70.05,24,34,41.38,13.0,86.77,63.35,158.31,KAY/O,Ascent
JustAni#765,JustAni,765,20,Platinum 3,Platinum 3,Gold 1,9.5,Silver 3,Silver,11,8,1,55.0,445,291,120,430,1.529,1.942,277.25,717.15,160.41,77.82,27.3,66.55,58,42,58.0,23.26,100.93,104.52,183.84,Reyna,Fracture
CarlYohn#LAS,CarlYohn,LAS,20,Gold 3,Gold 3,Gold 1,9.55,Gold 1,Gold,8,12,0,40.0,291,310,134,424,0.939,1.371,195.9,507.8,129.75,-7.7,23.05,70.05,23,36,38.98,13.92,4.25,45.22,237.01,Skye,Fracture
NicoStyleGZ#LAS,NicoStyleGZ,LAS,20,Platinum 1,Platinum 1,Silver 2,9.55,Gold 1,Gold,9,11,0,45.0,313,303,109,404,1.033,1.393,229.2,571.15,139.15,15.28,15.2,70.0,53,39,57.61,22.77,53.71,71.6,208.21,Killjoy,Haven
Pelado#69420,Pelado,69420,20,Gold 2,Gold 2,Gold 2,9.55,Gold 1,Gold,11,9,0,55.0,310,296,103,404,1.047,1.395,213.25,572.85,126.46,11.87,28.5,63.35,49,44,52.69,23.02,227.72,64.45,240.15,Cypher,Pearl
THIAGO ELOYO#213,THIAGO ELOYO,213,20,Gold 1,Gold 1,Gold 1,9.6,Gold 1,Gold,7,12,1,35.0,332,351,59,448,0.946,1.114,206.3,453.95,121.81,-2.58,27.45,55.75,50,58,46.3,24.11,105.8,68.5,243.0,Jett,Ascent
lumtmaj#2510,lumtmaj,2510,20,Platinum 1,Platinum 1,Gold 2,9.6,Gold 1,Gold,8,11,1,40.0,312,346,71,446,0.902,1.107,189.8,452.25,122.57,-12.62,36.3,63.95,59,73,44.7,29.6,61.21,55.89,190.86,Jett,Split
KxxxxJR#LAS,KxxxxJR,LAS,20,Platinum 3,Platinum 3,Silver 3,9.65,Gold 1,Gold,13,7,0,65.0,290,316,165,432,0.918,1.44,194.1,569.0,129.57,15.59,24.8,70.05,36,33,52.17,15.97,31.25,64.28,192.39,Chamber,Ascent
Sneaby#777,Sneaby,777,20,Platinum 1,Platinum 1,Silver 2,9.8,Gold 1,Gold,10,10,0,50.0,249,311,171,436,0.801,1.35,171.15,448.9,101.46,-15.11,16.85,66.85,33,39,45.83,16.51,38.76,48.59,220.9,Sage,Split
TheIISS#Panda,TheIISS,Panda,20,Platinum 1,Platinum 1,Gold 1,10.25,Gold 1,Gold,8,11,1,40.0,354,339,108,414,1.044,1.363,253.4,623.9,150.76,11.26,21.2,70.35,73,69,51.41,34.3,64.73,59.09,198.88,Jett,Breeze
elpibe de oro#1402,elpibe de oro,1402,20,Gold 2,Gold 2,Gold 2,10.75,Gold 2,Gold,14,6,0,70.0,256,261,127,397,0.981,1.467,182.65,529.6,108.67,10.36,29.1,65.4,23,12,65.71,8.82,189.42,63.52,228.84,Sova,Ascent
try04#2562,try04,2562,20,Gold 3,Gold 3,Gold 3,10.75,Gold 2,Gold,10,10,0,50.0,320,325,94,428,0.985,1.274,210.35,536.55,138.03,-7.6,35.5,69.6,41,37,52.56,18.22,3.74,65.22,238.51,Fade,Lotus
Elamordetuvida#istp,Elamordetuvida,istp,20,Platinum 1,Platinum 1,Platinum 1,11.0,Gold 2,Gold,11,9,0,55.0,310,271,130,420,1.144,1.624,203.85,571.6,139.17,32.24,29.1,66.8,23,42,35.38,15.48,58.33,78.04,213.83,Jett,Split
Lxnardhh#00001,Lxnardhh,00001,20,Platinum 2,Platinum 2,Gold 3,11.05,Gold 2,Gold,9,11,0,45.0,319,298,105,413,1.07,1.423,226.25,595.35,135.29,26.14,18.9,65.15,43,36,54.43,19.13,149.15,59.68,256.1,Killjoy,Split
LeprosoMujeriego#Abru,LeprosoMujeriego,Abru,20,Platinum 1,Platinum 1,Platinum 1,11.1,Gold 2,Gold,7,12,1,35.0,320,323,113,424,0.991,1.341,220.2,567.85,120.83,29.73,33.7,56.35,39,42,48.15,19.1,328.77,55.65,237.21,Raze,Ascent
KryZ愛#7776,KryZ愛,7776,20,Platinum 2,Platinum 2,Gold 1,11.45,Gold 2,Gold,10,9,1,50.0,299,324,74,415,0.923,1.151,200.25,465.3,125.47,-6.93,27.85,61.75,30,39,43.48,16.63,43.86,62.15,263.14,Clove,Split
Dani Ángel#0605,Dani Ángel,0605,20,Platinum 2,Platinum 2,Gold 3,11.55,Gold 3,Gold,11,9,0,55.0,317,284,148,411,1.116,1.637,212.55,612.65,125.06,49.18,33.45,61.0,36,17,67.92,12.9,179.08,60.97,207.56,Chamber,Pearl
k9999z#LAN,k9999z,LAN,20,Platinum 3,Platinum 3,Gold 1,11.55,Gold 3,Gold,13,6,1,65.0,321,321,120,426,1.0,1.374,232.6,628.15,131.12,21.01,15.4,65.45,72,83,46.45,36.38,92.25,47.37,214.36,Raze,Lotus
ChiChoBelo#idk,ChiChoBelo,idk,20,Platinum 2,Platinum 2,Platinum 1,12.0,Gold 3,Gold,12,8,0,60.0,207,298,174,415,0.695,1.279,147.15,359.9,95.5,-45.45,18.85,66.6,17,32,34.69,11.81,1.93,33.81,150.22,KAY/O,Split
HF Nitrogen0#HF1,HF Nitrogen0,HF1,20,Platinum 2,Platinum 2,Gold 3,12.0,Gold 3,Gold,8,12,0,40.0,313,335,82,435,0.934,1.179,206.1,494.25,127.55,-3.28,28.05,63.7,66,48,57.89,26.21,19.54,61.17,250.92,Chamber,Haven
qw3rty愛#poop,qw3rty愛,poop,20,Platinum 3,Platinum 3,Platinum 2,12.0,Gold 3,Gold,9,10,1,45.0,340,310,103,428,1.097,1.429,217.55,580.65,128.63,33.07,36.05,61.65,37,32,53.62,16.12,122.2,43.02,210.03,Omen,Pearl
